,word,count
383,amigo,550
384,saiba,549
385,filmes,545
386,pai,545
387,dando,544
388,sabado,544
389,d,543
390,#butecoemcasa,541
391,03,538
392,vezes,535
393,comer,532
394,alem,532
395,fe,530
396,outras,528
397,muitas,528
398,deu,525
399,gripezinha,525
400,colocar,525
401,vi,525
402,facil,523
403,italia,523
404,quarentena!,522
405,diario,519
406,c,518
407,salvar,517
408,sol,517
409,espero,517
410,informacoes,517
411,pelos,516
412,usar,513
413,ministro,512
414,aquele,511
415,oficial,511
416,sp,511
417,quarentena?,510
418,evitar,510
419,idosos,510
420,agua,508
421,cuidar,508
422,dormir,504
423,somos,503
424,daqui,503
425,minhas,503
426,historia,502
427,manha,502
428,#vaipassar,501
429,6,498
430,show,495
431,ne?,495
432,aproveite,495
433,20,493
434,dele,489
435,!!!,489
436,normal,488
437,mascara,488
438,redes,487
439,passa,487
440,jeito,483
441,certo,482
442,sai,481
443,kkkk,481
444,@gusttavo,481
445,materia,480
446,outra,480
447,app,479
448,luta,479
449,comecar,477
450,senhor,477
451,melhores,476
452,alguma,476
453,pensando,475
454,#bolsonero,475
455,mensagem,474
456,vale,473
457,tv,473
458,#coronavirusbrazil,472
459,internet,471
460,mes,471
461,lavar,469
462,feito,466
463,site,466
464,triste,465
465,numeros,465
466,posso,465
467,lives,464
468,segundo,462
469,#tiktok,462
470,the,462
471,#quarentine,461
472,praia,461
473,mal,460
474,disse,459
475,necessario,458
476,pensar,457
477,forca,456
478,seguimos,456
479,twitter,456
480,mao,456
481,deixa,456
482,cafe,455
483,pegar,454
484,gel,454
485,#laveasmaos,454
486,partir,453
487,mundial,451
488,comprar,451
489,#bolsonaro,450
490,12,449
491,milhoes,448
492,#pascoa,448
493,teve,448
494,aguento,447
495,#bbb,445
496,continuar,444
497,ouvir,442
498,proteger,440
499,brasileiros,439
500,contato,439
501,tirar,438
502,atividades,437
503,jogo,437
504,8,435
505,segunda,434
506,numa,434
507,#quarantine,434
508,30,433
509,ler,433
510,tenha,433
511,#coronavid19,433
512,#todoscontraocoronavirus,432
513,sociais,430
514,@jdoriajr,429
515,acoes,428
516,9,426
517,11,425
518,seguir,424
519,completa,424
520,mercado,423
521,mesma,422
522,hospital,422
523,duas,422
524,super,422
525,jorge,420
526,entender,420
527,@lhmandetta,420
528,seguranca,418
529,siga,416
530,esperanca,413
531,sistema,413
532,obrigada,412
533,vejo,412
534,verdade,411
535,aproveitar,410
536,breve,409
537,fosse,409
538,filho,408
539,rotina,408
540,kkkkk,406
541,paz,406
542,tava,405
543,#netflix,405
544,acesse,404
545,real,404
546,mandetta,404
547,servicos,403
548,momentos,403
549,tedio,402
550,importancia,401
551,ministerio,401
552,quarto,401
553,prefeitura,401
554,continua,398
555,equipe,398
556,unica,398
557,#coronavirusplantao,398
558,prevencao,398
559,rede,397
560,tu,396
561,realmente,395
562,sul,394
563,problema,394
564,matar,394
565,whatsapp,394
566,!!,394
567,aquela,393
568,kkk,393
569,algum,392
570,livro,392
571,ama,389
572,cuidado,388
573,especial,387
574,indo,386
575,medida,385
576,desafio,385
577,#fiqueemcasa!,385
578,atencao,385
579,assista,384
580,#fe,384
581,noticias,383
582,disso,383
583,ficando,383
584,festa,382
585,ferias,381
586,aula,380
587,nome,380
588,porem,380
589,fico,378
590,comigo,378
591,empresas,378
592,#prevencao,377
593,cabeca,376
594,#livelocalmariliamendonca,376
595,existe,375
596,contagio,374
597,chegou,374
598,tbm,374
599,homem,373
600,mascaras,372
601,videos,372
602,porto,372
603,chega,371
604,#redebbb,371
605,igual,371
606,infelizmente,370
607,cuide,370
608,perder,368
609,lembrar,368
610,jogar,366
611,chegar,366
612,celular,365
613,deixe,364
614,comecou,364
615,#musica,363
616,distanciamento,363
617,#riocontraocorona,362
618,orientacoes,362
619,realidade,362
620,fotos,361
621,tipo,361
622,publico,360
623,ciencia,360
624,querem,359
625,serao,357
626,criancas,357
627,tres,357
628,merda,357
629,#amor,356
630,deveria,354
631,#familia,354
632,ficou,354
633,novos,353
634,gusttavo,353
635,fome,353
636,dados,353
637,umas,352
638,tentando,350
639,lindo,350
640,publica,349
641,#quarentena:,348
642,meses,347
643,viu,347
644,acha,347
645,24,346
646,certeza,346
647,desta,346
648,proteja,346
649,acabou,345
650,prefeito,345
651,aulas,345
652,comeca,343
653,nenhum,343
654,simples,343
655,pelas,342
656,som,342
657,#riodejaneiro,342
658,aprender,342
659,guerra,342
660,jesus,341
661,comida,341
662,claro,341
663,diferente,341
664,livros,340
665,#forabolsonaros,340
666,r$,340
667,junto,340
668,recado,340
669,recomendacoes,338
670,respeito,338
671,boas,338
672,vivendo,337
673,#boanoite,337
674,manda,337
675,.,336
676,#obrasiltemquepararbolsonaro,336
677,acaba,335
678,infectados,335
679,rs,334
680,series,334
681,comercio,334
682,#coronaviruspandemic,333
683,saia,332
684,tanta,332
685,oms,332
686,bbb,331
687,ideia,331
688,necessidade,330
689,lave,330
690,ar,330
691,globo,329
692,papel,328
693,sintomas,328
694,distancia,327
695,apoio,326
696,mental,326
697,esperando,325
698,levar,325
699,todos!,324
700,varias,323
701,exemplo,323
702,filhos,323
703,amp;,322
704,linda,321
705,cuidados,321
706,fazem,321
707,treino,320
708,aniversario,319
709,#quarentenalgbtq,319
710,pronunciamento,319
711,mateus,319
712,atras,317
713,ok,317
714,epoca,317
715,porra,317
716,#quarentena?,316
717,precisar,316
718,viver,315
719,dela,315
720,empresa,315
721,banho,314
722,informacao,314
723,sexta,314
724,paises,313
725,ruim,312
726,precisam,312
727,ouvindo,312
728,pedir,312
729,pagar,311
730,medicos,310
731,casa?,310
732,#youtube,310
733,ganhar,309
734,sala,309
735,sozinho,309
736,marco,307
737,varios,307
738,entrar,307
739,politica,307
740,querendo,306
741,#fiqueemcasasepuder,306
742,luz,305
743,covid,304
744,combater,303
745,direito,302
746,obitos,302
747,joao,302
748,pena,301
749,sentindo,298
750,18,298
751,corpo,298
752,longe,298
753,#repost,297
754,almoco,296
755,eu:,296
756,gosto,295
757,atendimento,295
758,nesses,294
759,ia,294
760,medico,294
761,entao,294
762,#emcasasimsozinhonunca,293
763,#quedateencasa,293
764,saindo,293
765,#saopaulo,292
766,#sp,292
767,#humor,291
768,programa,290
769,#juntosadistancia,290
770,total,289
771,cedo,288
772,familias,288
773,ouca,288
774,#sextou,287
775,consigo,287
776,hospitais,286
777,bairro,285
778,ceu,285
779,daniel,285
780,seguindo,284
781,tive,284
782,mente,284
783,carro,284
784,somente,283
785,#bbb2020,282
786,federal,282
787,acabei,282
788,disponivel,281
789,importa,281
790,faco,281
791,semanas,281
792,forte,280
793,projeto,280
794,fiquei,279
795,postar,279
796,14,278
797,devido,278
798,principalmente,277
799,@netflixbrasil,276
800,cade,276
801,rt,276
802,perto,275
803,veio,275
804,aqueles,275
805,liga,274
806,responsabilidade,274
807,inteiro,273
808,gado,273
809,mulher,273
810,acordei,272
811,alegre,272
812,novas,272
813,ve,271
814,proxima,271
815,curtir,271
816,facebook,271
817,pedindo,270
818,geral,270
819,usando,270
820,#imprensacontraovirus,270
821,lista,269
822,deste,268
823,ajude,268
824,#instagram,268
825,unico,268
826,13,268
827,x,268
828,tiver,267
829,s,267
830,poderia,267
831,aproveitando,267
832,essenciais,266
833,caos,266
834,noticia,266
835,otima,266
836,eua,265
837,circle,264
838,#portallr1,263
839,estudar,263
840,achei,263
841,pascoa!,263
842,programacao,263
843,foda,263
844,beber,262
845,linha,262
846,duvida,262
847,kkkkkk,262
848,quiser,262
849,familiares,261
850,lr1,261
851,ponto,261
852,quarentena..,260
853,acordar,260
854,bahia,259
855,pede,259
856,cerveja,259
857,tomando,258
858,achando,258
859,@mariliamreal,258
860,janela,258
861,cama,258
862,@minsaude,257
863,china,257
864,sinto,257
865,discurso,257
866,#fantastico,257
867,maximo,256
868,receber,256
869,tendo,256
870,queremos,255
871,amiga,255
872,05,255
873,coronavirus:,254
874,uso,254
875,irresponsavel,254
876,ultimo,254
877,#quarentena2020,253
878,servico,253
879,comecando,253
880,vencer,252
881,protecao,252
882,mano,252
883,tb,251
884,milhares,251
885,roupa,251
886,mata,250
887,atual,250
888,nenhuma,250
889,covid19,250
890,acontecendo,249
891,alto,249
892,boletim,249
893,que,248
894,proprio,247
895,terra,247
896,use,247
897,pacientes,247
898,ignorancia,246
899,mostra,246
900,#love,246
901,va,246
902,autoridades,246
903,governadores,245
904,deles,245
905,ansiedade,245
906,mandar,245
907,vizinho,245
908,livre,245
909,querer,245
910,#codvid19,245
911,brincadeira,244
912,musicas,244
913,gente!,244
914,sociedade,243
915,ultima,243
916,centro,243
917,#urgente,242
918,sexta-feira,242
919,passou,242
920,maioria,242
921,imagem,242
922,cuidem,242
923,resultado,241
924,area,241
925,nacional,241
926,gosta,241
927,consegue,241
928,abrir,240
929,insta,240
930,louca,240
931,estaremos,240
932,decreto,239
933,otimo,239
934,teremos,238
935,rapido,238
936,cursos,238
937,testes,238
938,confinamento,238
939,curva,237
940,chama,237
941,ah,237
942,jogos,237
943,elas,236
944,belo,236
945,transmissao,236
946,#impeachmentdebolsonaro,236
947,fake,236
948,delivery,235
949,papo,235
950,#89rockatitude,235
951,gratis,235
952,grandes,235
953,bozo,234
954,#rj,234
955,encontrar,234
956,negocio,234
957,trabalhadores,233
958,#covid-19,233
959,imagina,233
960,doria,233
961,lembrando,233
962,vila,233
963,propria,233
964,curso,232
965,questao,232
966,pe,232
967,diante,231
968,sido,231
969,olhar,231
970,netflix,231
971,dor,231
972,sentido,231
973,desses,230
974,falou,230
975,renda,230
976,vizinhos,230
977,atraves,230
978,vergonha,230
979,evite,230
980,casa..,230
981,bater,230
982,pobre,229
983,excelente,229
984,feira,229
985,atleta,228
986,conteudo,228
987,quais,228
988,maneira,227
989,@redeglobo,227
990,carreata,227
991,role,227
992,acontecer,227
993,exercicios,226
994,dizendo,226
995,perfil,226
996,devemos,226
997,sentir,226
998,contas,226
999,tentar,226
1000,pao,226
1001,aglomeracoes,226
1002,legal,225
1003,voce!,225
1004,futuro,225
1005,#virus,225
1006,devem,225
1007,#bolsonarotemrazao,225
1008,podia,225
1009,consciencia,225
1010,jogando,225
1011,boca,225
1012,irmao,224
1013,#jorgeemateus,224
1014,futebol,224
1015,inicio,224
1016,minutos,224
1017,=,224
1018,#delivery,224
1019,estados,223
1020,filha,223
1021,entrevista,223
1022,time,222
