,word,count
413,nossas,31
414,numero,31
415,poderia,31
416,#forapyong,31
417,maior,31
418,e,31
419,dizer,31
420,entender,31
421,fosse,31
422,#quarentena:,31
423,#covid19brasil,31
424,dando,31
425,problema,31
426,deve,31
427,nao..,31
428,diz,31
429,janeiro,31
430,18,31
431,tarde,31
432,morrer,31
433,veja,30
434,jogando,30
435,??#quarentena,30
436,tal,30
437,vezes,30
438,ouvindo,30
439,netflix,30
440,geral,30
441,essas,30
442,apos,30
443,historia,30
444,atividades,30
445,do..,30
446,responsabilidade,30
447,epoca,30
448,publica,29
449,dormir,29
450,#pandemia,29
451,redes,29
452,#coronaviruschallenge,29
453,casa?,29
454,numa,29
455,tanta,29
456,morte,29
457,programa,29
458,podia,29
459,populacao,29
460,facil,29
461,mal,28
462,livro,28
463,merda,28
464,jogo,28
465,se..,28
466,publico,28
467,nesses,28
468,pyong,28
469,informacoes,28
470,30,28
471,funcionarios,28
472,frente,28
473,achei,27
474,#quarentine,27
475,igual,27
476,comida,27
477,#covid?19,27
478,onibus,27
479,cuidado,27
480,temporada,27
481,segue,27
482,dinheiro,27
483,ajuda,27
484,deveria,27
485,seguir,27
486,forca,27
487,empatia,27
488,indo,27
489,tirar,26
490,tbm,26
491,devido,26
492,mano,26
493,porto,26
494,verdade,26
495,combater,26
496,mesma,26
497,salvar,26
498,m..,26
499,unico,26
500,idosos,26
501,tipo,26
502,em..,26
503,oficial,26
504,festa,26
505,nesta,26
506,demais,26
507,entre,26
508,estudar,26
509,deixa,26
510,prevenir,26
511,segunda,26
512,#quarentena?,26
513,consciencia,26
514,recomendacoes,25
515,fechar,25
516,aquele,25
517,#estadodeemergencia,25
518,#naquarentenaeu,25
519,ruim,25
520,vivo,25
521,necessario,25
522,necessidade,25
523,#brasil,25
524,faco,25
525,ideia,25
526,kkkkk,25
527,matar,25
528,#laveasmaos,25
529,+,25
530,consigo,25
531,serao,25
532,rotina,25
533,daniel,25
534,ouvir,25
535,boas,25
536,teve,25
537,disse,25
538,sentindo,25
539,outras,25
